"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030029","actin filament-based process","168/1739","440/7616",0.381818181818182,1.67218359558785,7.90096125618477,5.8036931053714e-14,2.61630485190143e-10,2.14064638328646e-10,"ENSG00000114019/ENSG00000109265/ENSG00000118523/ENSG00000259207/ENSG00000197702/ENSG00000167306/ENSG00000064042/ENSG00000122786/ENSG00000105974/ENSG00000124126/ENSG00000145349/ENSG00000115353/ENSG00000126785/ENSG00000184304/ENSG00000126016/ENSG00000143341/ENSG00000112902/ENSG00000169554/ENSG00000105976/ENSG00000277443/ENSG00000115306/ENSG00000133121/ENSG00000139734/ENSG00000171992/ENSG00000138771/ENSG00000054654/ENSG00000140416/ENSG00000114279/ENSG00000083857/ENSG00000128849/ENSG00000011426/ENSG00000112186/ENSG00000099250/ENSG00000072422/ENSG00000145147/ENSG00000248905/ENSG00000129595/ENSG00000139132/ENSG00000115355/ENSG00000095637/ENSG00000158528/ENSG00000140285/ENSG00000128487/ENSG00000163171/ENSG00000143322/ENSG00000154310/ENSG00000177425/ENSG00000135046/ENSG00000129116/ENSG00000184588/ENSG00000127914/ENSG00000146376/ENSG00000172159/ENSG00000130402/ENSG00000197555/ENSG00000145362/ENSG00000163545/ENSG00000113448/ENSG00000159167/ENSG00000078401/ENSG00000107104/ENSG00000070087/ENSG00000171877/ENSG00000152049/ENSG00000115963/ENSG00000100345/ENSG00000138443/ENSG00000096968/ENSG00000141376/ENSG00000138347/ENSG00000066032/ENSG00000139926/ENSG00000079819/ENSG00000082781/ENSG00000187164/ENSG00000186575/ENSG00000198929/ENSG00000144824/ENSG00000137710/ENSG00000130340/ENSG00000171345/ENSG00000145819/ENSG00000134516/ENSG00000166949/ENSG00000075711/ENSG00000180263/ENSG00000120756/ENSG00000196405/ENSG00000129682/ENSG00000122966/ENSG00000136541/ENSG00000074964/ENSG00000155816/ENSG00000113657/ENSG00000205542/ENSG00000149269/ENSG00000075142/ENSG00000128641/ENSG00000077264/ENSG00000133789/ENSG00000164251/ENSG00000103187/ENSG00000125733/ENSG00000145715/ENSG00000150764/ENSG00000159023/ENSG00000163110/ENSG00000147010/ENSG00000197747/ENSG00000006453/ENSG00000136068/ENSG00000165410/ENSG00000100266/ENSG00000180370/ENSG00000171385/ENSG00000055163/ENSG00000105887/ENSG00000182963/ENSG00000071051/ENSG00000123700/ENSG00000120899/ENSG00000152229/ENSG00000128872/ENSG00000100014/ENSG00000079691/ENSG00000145703/ENSG00000153310/ENSG00000136754/ENSG00000006451/ENSG00000057294/ENSG00000110880/ENSG00000160007/ENSG00000158321/ENSG00000005108/ENSG00000151491/ENSG00000117519/ENSG00000117152/ENSG00000143398/ENSG00000132854/ENSG00000243156/ENSG00000055118/ENSG00000128585/ENSG00000157483/ENSG00000066777/ENSG00000184349/ENSG00000102024/ENSG00000158352/ENSG00000152661/ENSG00000143878/ENSG00000115109/ENSG00000144339/ENSG00000109743/ENSG00000047648/ENSG00000131504/ENSG00000169604/ENSG00000158186/ENSG00000171132/ENSG00000141646/ENSG00000158092/ENSG00000164741/ENSG00000066248/ENSG00000171914/ENSG00000115008/ENSG00000166086/ENSG00000148700/ENSG00000176732/ENSG00000196588/ENSG00000170776",168
"GO:0030155","regulation of cell adhesion","157/1739","407/7616",0.385749385749386,1.68940041510484,7.77567556966548,1.5404403793372e-13,3.47215261502605e-10,2.84089636273555e-10,"ENSG00000137801/ENSG00000259207/ENSG00000154175/ENSG00000142871/ENSG00000153071/ENSG00000064042/ENSG00000105974/ENSG00000124126/ENSG00000135074/ENSG00000124253/ENSG00000162692/ENSG00000092421/ENSG00000076641/ENSG00000105810/ENSG00000049130/ENSG00000115414/ENSG00000144810/ENSG00000134954/ENSG00000079385/ENSG00000111913/ENSG00000112902/ENSG00000132669/ENSG00000143507/ENSG00000091986/ENSG00000140416/ENSG00000137764/ENSG00000128567/ENSG00000099250/ENSG00000128052/ENSG00000091409/ENSG00000198959/ENSG00000136244/ENSG00000145868/ENSG00000248905/ENSG00000135919/ENSG00000150782/ENSG00000163513/ENSG00000164442/ENSG00000060656/ENSG00000169499/ENSG00000143322/ENSG00000177425/ENSG00000135046/ENSG00000058272/ENSG00000104312/ENSG00000130402/ENSG00000173406/ENSG00000124766/ENSG00000107104/ENSG00000171877/ENSG00000108691/ENSG00000184371/ENSG00000096968/ENSG00000154188/ENSG00000168685/ENSG00000197646/ENSG00000221866/ENSG00000107338/ENSG00000026508/ENSG00000152818/ENSG00000140945/ENSG00000186575/ENSG00000101384/ENSG00000144824/ENSG00000076356/ENSG00000137710/ENSG00000120708/ENSG00000168743/ENSG00000041982/ENSG00000145555/ENSG00000166949/ENSG00000075711/ENSG00000147459/ENSG00000144452/ENSG00000168615/ENSG00000117586/ENSG00000144283/ENSG00000125347/ENSG00000149177/ENSG00000151150/ENSG00000197971/ENSG00000137845/ENSG00000133789/ENSG00000169756/ENSG00000122861/ENSG00000138814/ENSG00000143195/ENSG00000156234/ENSG00000110080/ENSG00000091136/ENSG00000145715/ENSG00000162434/ENSG00000107742/ENSG00000197747/ENSG00000035403/ENSG00000125726/ENSG00000196569/ENSG00000092969/ENSG00000104219/ENSG00000113494/ENSG00000112769/ENSG00000071051/ENSG00000169398/ENSG00000140836/ENSG00000183779/ENSG00000149311/ENSG00000120899/ENSG00000151490/ENSG00000079691/ENSG00000051382/ENSG00000153310/ENSG00000135218/ENSG00000049618/ENSG00000168214/ENSG00000168811/ENSG00000117713/ENSG00000057294/ENSG00000166164/ENSG00000110880/ENSG00000164690/ENSG00000198836/ENSG00000106541/ENSG00000134215/ENSG00000114423/ENSG00000101665/ENSG00000019549/ENSG00000114251/ENSG00000080503/ENSG00000145794/ENSG00000135535/ENSG00000184349/ENSG00000207725/ENSG00000082701/ENSG00000138448/ENSG00000115109/ENSG00000109743/ENSG00000047648/ENSG00000102908/ENSG00000039068/ENSG00000008256/ENSG00000171132/ENSG00000197635/ENSG00000158092/ENSG00000189403/ENSG00000106366/ENSG00000053747/ENSG00000164741/ENSG00000102468/ENSG00000115008/ENSG00000141293/ENSG00000166086/ENSG00000169429/ENSG00000136153/ENSG00000109906/ENSG00000127603/ENSG00000081237/ENSG00000106571",157
"GO:0007264","small GTPase-mediated signal transduction","105/1739","250/7616",0.42,1.83940195514664,7.34059093394741,5.41859528273274e-12,8.14234251151973e-09,6.6620203055072e-09,"ENSG00000137962/ENSG00000124126/ENSG00000156011/ENSG00000126785/ENSG00000136205/ENSG00000049130/ENSG00000164692/ENSG00000126016/ENSG00000111913/ENSG00000116133/ENSG00000138193/ENSG00000105976/ENSG00000133121/ENSG00000132669/ENSG00000156299/ENSG00000128849/ENSG00000101134/ENSG00000099250/ENSG00000105339/ENSG00000198959/ENSG00000072422/ENSG00000145147/ENSG00000091428/ENSG00000145632/ENSG00000139132/ENSG00000115355/ENSG00000064309/ENSG00000128805/ENSG00000163171/ENSG00000143322/ENSG00000146376/ENSG00000197555/ENSG00000173406/ENSG00000071205/ENSG00000141068/ENSG00000107104/ENSG00000138685/ENSG00000134259/ENSG00000115963/ENSG00000138443/ENSG00000107554/ENSG00000184371/ENSG00000275832/ENSG00000187164/ENSG00000134250/ENSG00000140945/ENSG00000137710/ENSG00000128512/ENSG00000145819/ENSG00000134516/ENSG00000214944/ENSG00000147459/ENSG00000160145/ENSG00000205726/ENSG00000074964/ENSG00000206052/ENSG00000115310/ENSG00000181104/ENSG00000165895/ENSG00000159314/ENSG00000135905/ENSG00000133789/ENSG00000164251/ENSG00000152689/ENSG00000137502/ENSG00000133818/ENSG00000092969/ENSG00000166974/ENSG00000120063/ENSG00000115904/ENSG00000051382/ENSG00000153310/ENSG00000127314/ENSG00000105738/ENSG00000107263/ENSG00000006451/ENSG00000160007/ENSG00000158321/ENSG00000120278/ENSG00000185989/ENSG00000151491/ENSG00000107863/ENSG00000109756/ENSG00000134215/ENSG00000107862/ENSG00000066777/ENSG00000106615/ENSG00000158987/ENSG00000188419/ENSG00000136895/ENSG00000143878/ENSG00000138448/ENSG00000047648/ENSG00000119326/ENSG00000107798/ENSG00000008256/ENSG00000158186/ENSG00000134909/ENSG00000198915/ENSG00000164741/ENSG00000066248/ENSG00000117155/ENSG00000128656/ENSG00000196220/ENSG00000170776",105
"GO:0030036","actin cytoskeleton organization","149/1739","403/7616",0.369727047146402,1.61923012712306,6.94789960144699,3.09599787363541e-11,3.48918960358711e-08,2.85483593400486e-08,"ENSG00000114019/ENSG00000109265/ENSG00000118523/ENSG00000259207/ENSG00000197702/ENSG00000167306/ENSG00000064042/ENSG00000122786/ENSG00000124126/ENSG00000115353/ENSG00000126785/ENSG00000184304/ENSG00000126016/ENSG00000143341/ENSG00000112902/ENSG00000169554/ENSG00000105976/ENSG00000277443/ENSG00000115306/ENSG00000133121/ENSG00000139734/ENSG00000171992/ENSG00000138771/ENSG00000140416/ENSG00000083857/ENSG00000128849/ENSG00000011426/ENSG00000112186/ENSG00000099250/ENSG00000072422/ENSG00000145147/ENSG00000248905/ENSG00000129595/ENSG00000139132/ENSG00000115355/ENSG00000095637/ENSG00000158528/ENSG00000140285/ENSG00000128487/ENSG00000163171/ENSG00000143322/ENSG00000154310/ENSG00000177425/ENSG00000135046/ENSG00000129116/ENSG00000146376/ENSG00000172159/ENSG00000130402/ENSG00000197555/ENSG00000163545/ENSG00000078401/ENSG00000107104/ENSG00000070087/ENSG00000171877/ENSG00000115963/ENSG00000100345/ENSG00000138443/ENSG00000096968/ENSG00000141376/ENSG00000138347/ENSG00000066032/ENSG00000079819/ENSG00000082781/ENSG00000187164/ENSG00000186575/ENSG00000198929/ENSG00000144824/ENSG00000137710/ENSG00000130340/ENSG00000171345/ENSG00000145819/ENSG00000134516/ENSG00000166949/ENSG00000075711/ENSG00000180263/ENSG00000120756/ENSG00000196405/ENSG00000122966/ENSG00000136541/ENSG00000074964/ENSG00000155816/ENSG00000113657/ENSG00000205542/ENSG00000149269/ENSG00000128641/ENSG00000077264/ENSG00000133789/ENSG00000164251/ENSG00000103187/ENSG00000125733/ENSG00000145715/ENSG00000150764/ENSG00000159023/ENSG00000163110/ENSG00000147010/ENSG00000197747/ENSG00000006453/ENSG00000136068/ENSG00000165410/ENSG00000100266/ENSG00000180370/ENSG00000055163/ENSG00000105887/ENSG00000071051/ENSG00000120899/ENSG00000152229/ENSG00000128872/ENSG00000100014/ENSG00000079691/ENSG00000145703/ENSG00000153310/ENSG00000136754/ENSG00000006451/ENSG00000110880/ENSG00000160007/ENSG00000158321/ENSG00000005108/ENSG00000151491/ENSG00000117519/ENSG00000117152/ENSG00000143398/ENSG00000132854/ENSG00000243156/ENSG00000128585/ENSG00000157483/ENSG00000066777/ENSG00000184349/ENSG00000102024/ENSG00000158352/ENSG00000143878/ENSG00000115109/ENSG00000144339/ENSG00000109743/ENSG00000047648/ENSG00000131504/ENSG00000169604/ENSG00000158186/ENSG00000171132/ENSG00000141646/ENSG00000158092/ENSG00000164741/ENSG00000066248/ENSG00000171914/ENSG00000115008/ENSG00000166086/ENSG00000148700/ENSG00000176732/ENSG00000196588/ENSG00000170776",149
"GO:0034330","cell junction organization","161/1739","458/7616",0.351528384279476,1.53952856507906,6.47825791902574,4.31757612762018e-10,3.89272663666236e-07,3.18500773709076e-07,"ENSG00000137801/ENSG00000259207/ENSG00000061337/ENSG00000140937/ENSG00000064042/ENSG00000105974/ENSG00000152583/ENSG00000169760/ENSG00000115414/ENSG00000151012/ENSG00000169862/ENSG00000126016/ENSG00000196083/ENSG00000107186/ENSG00000128536/ENSG00000152894/ENSG00000171476/ENSG00000171992/ENSG00000156299/ENSG00000112186/ENSG00000099250/ENSG00000128052/ENSG00000107984/ENSG00000091409/ENSG00000121440/ENSG00000131711/ENSG00000248905/ENSG00000027075/ENSG00000109738/ENSG00000069869/ENSG00000157240/ENSG00000128805/ENSG00000095637/ENSG00000140285/ENSG00000177707/ENSG00000153113/ENSG00000133083/ENSG00000076716/ENSG00000197555/ENSG00000170558/ENSG00000173406/ENSG00000145362/ENSG00000062038/ENSG00000174607/ENSG00000151914/ENSG00000149295/ENSG00000070087/ENSG00000138435/ENSG00000273079/ENSG00000081189/ENSG00000138443/ENSG00000066032/ENSG00000221866/ENSG00000185666/ENSG00000169933/ENSG00000140945/ENSG00000174469/ENSG00000113361/ENSG00000186575/ENSG00000198929/ENSG00000144824/ENSG00000171943/ENSG00000076356/ENSG00000137710/ENSG00000072201/ENSG00000128512/ENSG00000041982/ENSG00000170921/ENSG00000166949/ENSG00000075711/ENSG00000129682/ENSG00000139211/ENSG00000012504/ENSG00000115310/ENSG00000179242/ENSG00000144283/ENSG00000181104/ENSG00000163697/ENSG00000134982/ENSG00000243244/ENSG00000149177/ENSG00000077264/ENSG00000139174/ENSG00000140557/ENSG00000151150/ENSG00000008086/ENSG00000166387/ENSG00000135905/ENSG00000187957/ENSG00000137845/ENSG00000164251/ENSG00000169756/ENSG00000150625/ENSG00000124171/ENSG00000150764/ENSG00000163110/ENSG00000150471/ENSG00000196369/ENSG00000107742/ENSG00000197747/ENSG00000157985/ENSG00000149970/ENSG00000162105/ENSG00000182197/ENSG00000035403/ENSG00000180370/ENSG00000062716/ENSG00000092969/ENSG00000104219/ENSG00000055163/ENSG00000166974/ENSG00000182963/ENSG00000169398/ENSG00000120063/ENSG00000183779/ENSG00000120899/ENSG00000151490/ENSG00000156642/ENSG00000118257/ENSG00000138758/ENSG00000127314/ENSG00000140443/ENSG00000107263/ENSG00000110841/ENSG00000057294/ENSG00000178568/ENSG00000110880/ENSG00000125848/ENSG00000163629/ENSG00000115183/ENSG00000113140/ENSG00000109756/ENSG00000143398/ENSG00000101665/ENSG00000277586/ENSG00000019549/ENSG00000114251/ENSG00000082805/ENSG00000197959/ENSG00000184349/ENSG00000157445/ENSG00000152661/ENSG00000143878/ENSG00000115109/ENSG00000047648/ENSG00000148948/ENSG00000153317/ENSG00000150394/ENSG00000141385/ENSG00000039068/ENSG00000171603/ENSG00000101040/ENSG00000170759/ENSG00000053747/ENSG00000164741/ENSG00000066248/ENSG00000171914/ENSG00000136379/ENSG00000171217/ENSG00000166086/ENSG00000127603",161
"GO:0045785","positive regulation of cell adhesion","99/1739","248/7616",0.399193548387097,1.74827950805988,6.51661079272983,6.86729350110014e-10,5.09442789514486e-07,4.16823316316901e-07,"ENSG00000259207/ENSG00000154175/ENSG00000142871/ENSG00000153071/ENSG00000105974/ENSG00000124126/ENSG00000135074/ENSG00000124253/ENSG00000162692/ENSG00000105810/ENSG00000049130/ENSG00000115414/ENSG00000144810/ENSG00000134954/ENSG00000132669/ENSG00000143507/ENSG00000091986/ENSG00000140416/ENSG00000128567/ENSG00000099250/ENSG00000128052/ENSG00000091409/ENSG00000198959/ENSG00000136244/ENSG00000145868/ENSG00000248905/ENSG00000150782/ENSG00000163513/ENSG00000164442/ENSG00000060656/ENSG00000169499/ENSG00000143322/ENSG00000135046/ENSG00000104312/ENSG00000124766/ENSG00000171877/ENSG00000108691/ENSG00000184371/ENSG00000096968/ENSG00000154188/ENSG00000168685/ENSG00000197646/ENSG00000107338/ENSG00000026508/ENSG00000152818/ENSG00000140945/ENSG00000168743/ENSG00000145555/ENSG00000166949/ENSG00000147459/ENSG00000168615/ENSG00000117586/ENSG00000149177/ENSG00000151150/ENSG00000169756/ENSG00000138814/ENSG00000156234/ENSG00000110080/ENSG00000091136/ENSG00000162434/ENSG00000107742/ENSG00000197747/ENSG00000125726/ENSG00000196569/ENSG00000092969/ENSG00000071051/ENSG00000140836/ENSG00000149311/ENSG00000120899/ENSG00000079691/ENSG00000153310/ENSG00000135218/ENSG00000049618/ENSG00000168811/ENSG00000117713/ENSG00000166164/ENSG00000164690/ENSG00000198836/ENSG00000106541/ENSG00000134215/ENSG00000101665/ENSG00000114251/ENSG00000080503/ENSG00000145794/ENSG00000082701/ENSG00000138448/ENSG00000115109/ENSG00000102908/ENSG00000008256/ENSG00000171132/ENSG00000197635/ENSG00000158092/ENSG00000189403/ENSG00000102468/ENSG00000115008/ENSG00000141293/ENSG00000109906/ENSG00000081237/ENSG00000106571",99
"GO:0048638","regulation of developmental growth","72/1739","163/7616",0.441717791411043,1.9345156408203,6.56027002444475,8.99689943289666e-10,5.09442789514486e-07,4.16823316316901e-07,"ENSG00000150457/ENSG00000151718/ENSG00000078018/ENSG00000115414/ENSG00000112902/ENSG00000182621/ENSG00000075426/ENSG00000143507/ENSG00000171476/ENSG00000099250/ENSG00000187955/ENSG00000131711/ENSG00000169083/ENSG00000164442/ENSG00000170312/ENSG00000075213/ENSG00000078401/ENSG00000151320/ENSG00000149295/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000184371/ENSG00000114861/ENSG00000221866/ENSG00000187164/ENSG00000082482/ENSG00000113739/ENSG00000120756/ENSG00000129682/ENSG00000176788/ENSG00000115310/ENSG00000179242/ENSG00000169946/ENSG00000235387/ENSG00000008086/ENSG00000108557/ENSG00000166224/ENSG00000118785/ENSG00000133104/ENSG00000043591/ENSG00000144560/ENSG00000113645/ENSG00000168610/ENSG00000139318/ENSG00000198742/ENSG00000135346/ENSG00000168214/ENSG00000275410/ENSG00000178568/ENSG00000171517/ENSG00000006652/ENSG00000067715/ENSG00000004848/ENSG00000106541/ENSG00000117152/ENSG00000101665/ENSG00000137693/ENSG00000114251/ENSG00000184349/ENSG00000207725/ENSG00000082701/ENSG00000118260/ENSG00000168389/ENSG00000141385/ENSG00000039068/ENSG00000107779/ENSG00000207935/ENSG00000132932/ENSG00000084073/ENSG00000127603/ENSG00000140718",72
"GO:0032970","regulation of actin filament-based process","91/1739","223/7616",0.408071748878924,1.78716183982857,6.48952649729694,9.04068836760402e-10,5.09442789514486e-07,4.16823316316901e-07,"ENSG00000109265/ENSG00000118523/ENSG00000259207/ENSG00000064042/ENSG00000105974/ENSG00000124126/ENSG00000145349/ENSG00000115353/ENSG00000184304/ENSG00000126016/ENSG00000112902/ENSG00000169554/ENSG00000105976/ENSG00000115306/ENSG00000171992/ENSG00000140416/ENSG00000128849/ENSG00000099250/ENSG00000145147/ENSG00000248905/ENSG00000115355/ENSG00000163171/ENSG00000143322/ENSG00000184588/ENSG00000127914/ENSG00000146376/ENSG00000145362/ENSG00000113448/ENSG00000159167/ENSG00000078401/ENSG00000107104/ENSG00000070087/ENSG00000115963/ENSG00000100345/ENSG00000138443/ENSG00000141376/ENSG00000066032/ENSG00000139926/ENSG00000186575/ENSG00000144824/ENSG00000137710/ENSG00000130340/ENSG00000166949/ENSG00000075711/ENSG00000196405/ENSG00000129682/ENSG00000122966/ENSG00000074964/ENSG00000205542/ENSG00000149269/ENSG00000075142/ENSG00000077264/ENSG00000133789/ENSG00000164251/ENSG00000103187/ENSG00000145715/ENSG00000150764/ENSG00000197747/ENSG00000006453/ENSG00000165410/ENSG00000180370/ENSG00000055163/ENSG00000105887/ENSG00000071051/ENSG00000123700/ENSG00000120899/ENSG00000128872/ENSG00000079691/ENSG00000145703/ENSG00000153310/ENSG00000006451/ENSG00000057294/ENSG00000160007/ENSG00000151491/ENSG00000117152/ENSG00000132854/ENSG00000066777/ENSG00000184349/ENSG00000144339/ENSG00000109743/ENSG00000047648/ENSG00000171132/ENSG00000141646/ENSG00000158092/ENSG00000164741/ENSG00000066248/ENSG00000115008/ENSG00000166086/ENSG00000148700/ENSG00000176732/ENSG00000170776",91
"GO:0034765","regulation of monoatomic ion transmembrane transport","66/1739","147/7616",0.448979591836735,1.96631890248912,6.43509276923125,2.00315869214368e-09,9.31613897908089e-07,7.62241418360329e-07,"ENSG00000259207/ENSG00000103888/ENSG00000105974/ENSG00000145349/ENSG00000198947/ENSG00000184304/ENSG00000144681/ENSG00000114279/ENSG00000177119/ENSG00000118762/ENSG00000069869/ENSG00000022267/ENSG00000164949/ENSG00000184588/ENSG00000127914/ENSG00000149596/ENSG00000130402/ENSG00000163131/ENSG00000145362/ENSG00000113448/ENSG00000078401/ENSG00000151320/ENSG00000149295/ENSG00000273079/ENSG00000124942/ENSG00000108691/ENSG00000152049/ENSG00000152818/ENSG00000198929/ENSG00000075711/ENSG00000118507/ENSG00000129682/ENSG00000172939/ENSG00000205542/ENSG00000118729/ENSG00000181104/ENSG00000075142/ENSG00000163681/ENSG00000151150/ENSG00000138814/ENSG00000169282/ENSG00000108370/ENSG00000062716/ENSG00000165091/ENSG00000123700/ENSG00000120899/ENSG00000070159/ENSG00000047932/ENSG00000124134/ENSG00000183023/ENSG00000117152/ENSG00000055118/ENSG00000173163/ENSG00000187231/ENSG00000102466/ENSG00000185774/ENSG00000120910/ENSG00000170745/ENSG00000114796/ENSG00000183454/ENSG00000131504/ENSG00000141385/ENSG00000159128/ENSG00000171132/ENSG00000182132/ENSG00000137275",66
"GO:1904062","regulation of monoatomic cation transmembrane transport","62/1739","135/7616",0.459259259259259,2.01133899857304,6.44897526030293,2.06657918790614e-09,9.31613897908089e-07,7.62241418360329e-07,"ENSG00000259207/ENSG00000103888/ENSG00000105974/ENSG00000145349/ENSG00000198947/ENSG00000184304/ENSG00000144681/ENSG00000114279/ENSG00000177119/ENSG00000118762/ENSG00000069869/ENSG00000022267/ENSG00000164949/ENSG00000184588/ENSG00000127914/ENSG00000149596/ENSG00000130402/ENSG00000163131/ENSG00000145362/ENSG00000113448/ENSG00000078401/ENSG00000151320/ENSG00000149295/ENSG00000273079/ENSG00000124942/ENSG00000152049/ENSG00000152818/ENSG00000198929/ENSG00000075711/ENSG00000118507/ENSG00000129682/ENSG00000172939/ENSG00000205542/ENSG00000118729/ENSG00000181104/ENSG00000075142/ENSG00000163681/ENSG00000151150/ENSG00000138814/ENSG00000169282/ENSG00000108370/ENSG00000062716/ENSG00000165091/ENSG00000123700/ENSG00000120899/ENSG00000070159/ENSG00000124134/ENSG00000183023/ENSG00000117152/ENSG00000055118/ENSG00000173163/ENSG00000187231/ENSG00000102466/ENSG00000185774/ENSG00000120910/ENSG00000170745/ENSG00000114796/ENSG00000183454/ENSG00000131504/ENSG00000141385/ENSG00000171132/ENSG00000182132",62
