"gene","has_TES_peak","has_TEAD1_peak","has_DMR","TES_peak_count","TEAD1_peak_count","DMR_count","category"
"LINC01409",TRUE,FALSE,FALSE,4,0,0,"TES only"
"GNB1",TRUE,TRUE,TRUE,1,1,12,"TES + TEAD1 + DMR"
"LINC01777",TRUE,TRUE,FALSE,2,2,0,"TEAD1 only"
"LINC01646",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"CAMTA1-AS3",TRUE,TRUE,TRUE,1,3,2,"TES + TEAD1 + DMR"
"CAMTA1-AS2",TRUE,FALSE,TRUE,1,0,6,"TES + DMR"
"ERRFI1-DT",TRUE,TRUE,TRUE,5,2,1,"TES + TEAD1 + DMR"
"LINC01714",TRUE,TRUE,TRUE,6,6,8,"TES + TEAD1 + DMR"
"RERE",TRUE,TRUE,TRUE,2,2,16,"TES + TEAD1 + DMR"
"RERE-AS1",TRUE,TRUE,TRUE,1,1,3,"TES + TEAD1 + DMR"
"ENO1",TRUE,TRUE,TRUE,1,2,2,"TES + TEAD1 + DMR"
"CA6",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"CLSTN1",TRUE,TRUE,TRUE,1,2,7,"TES + TEAD1 + DMR"
"UBE4B",TRUE,TRUE,TRUE,1,1,13,"TES + TEAD1 + DMR"
"KIF1B",TRUE,TRUE,TRUE,1,1,3,"TES + TEAD1 + DMR"
"PEX14",TRUE,TRUE,TRUE,1,2,2,"TES + TEAD1 + DMR"
"MTOR",TRUE,TRUE,TRUE,2,1,7,"TES + TEAD1 + DMR"
"ANGPTL7",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"UBIAD1",TRUE,TRUE,TRUE,1,1,3,"TES + TEAD1 + DMR"
"VPS13D",TRUE,TRUE,TRUE,9,9,2,"TES + TEAD1 + DMR"
"LINC02766",TRUE,TRUE,TRUE,1,2,2,"TES + TEAD1 + DMR"
"MIR6730",TRUE,FALSE,FALSE,1,0,0,"TES only"
"DHRS3",TRUE,TRUE,FALSE,1,2,0,"TEAD1 only"
"AADACL3",TRUE,TRUE,FALSE,2,2,0,"TEAD1 only"
"LINC01784",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"KAZN-AS1",TRUE,TRUE,TRUE,3,1,3,"TES + TEAD1 + DMR"
"KAZN",TRUE,TRUE,TRUE,4,7,33,"TES + TEAD1 + DMR"
"FHAD1",TRUE,TRUE,TRUE,1,3,14,"TES + TEAD1 + DMR"
"UQCRHL",TRUE,TRUE,TRUE,2,1,1,"TES + TEAD1 + DMR"
"SRARP",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"SDHB",TRUE,FALSE,TRUE,2,0,2,"TES + DMR"
