"gene_symbol","baseMean","log2FoldChange","padj"
"TCN2",2200.75527173966,4.08153112262731,1.28875270232556e-144
"VGF",845.91552401584,5.49694663871607,2.33663783729252e-139
"H4C4",604.018514864038,-4.17746310717727,3.0702995218697e-104
"KRT8",682.438845673437,3.95835997662107,4.4874678463932e-95
"HJURP",339.735975948653,-4.06861910306412,1.82679474449348e-87
"DHCR7",3121.87393272558,2.33865504594265,2.25207920400546e-73
"MYO7A",315.153666374146,4.8653073147314,2.46636650056767e-71
"SLC36A1",830.205750241435,2.2462078322746,1.20190463378444e-60
"TNS1",240.928283172879,4.0277052314477,2.26522183595127e-60
"GPI",6391.43582667696,-1.89969953867499,4.93257253935322e-54
"NECTIN1",1380.41957236622,2.26789724568208,1.48057914714836e-53
"E2F2",177.010256373085,-3.0637167313984,2.04733569329769e-52
"FANCD2",325.431580237609,-2.72321013033856,2.66878352006127e-52
"BTBD19",523.805566237449,-2.31380886173791,6.60944683392271e-52
"ANO8",243.3700545367,-2.78107371668339,1.25172469939453e-50
"ZCCHC2",2409.45044471446,1.83234618818768,5.6464432625879e-46
"NCAPG2",888.588247134102,-2.11572688373204,1.35448574166545e-44
"RANBP6",550.836415661977,-2.2728778457678,1.60833550598634e-43
"CCNA2",238.081185396405,-2.64788466146263,4.07097945755147e-43
"PIMREG",150.216306536713,-3.56862122380479,6.61663106944071e-43
"RENBP",143.805525603689,5.18308960089408,1.75850300607017e-41
"POLI",374.798047262235,-2.22364956908667,2.14797236419489e-41
"IRF2BPL",979.844482007927,-1.78881245674108,5.95515327112465e-41
"CHAC1",284.971266318885,-2.74624194541858,6.51182146731248e-41
"CCL26",2575.61093624502,7.47358102806773,7.94656806860988e-41
"FADS1",872.051146631852,-2.06435321282137,4.62104416890602e-40
"DLL3",130.124099396383,5.23835579593664,8.71468901078987e-39
"MYADM",697.815064927495,-1.77170868554818,2.13297231631144e-37
"COMP",164.164846140195,6.00962684296409,2.36125667594594e-37
"SYT7",131.863868727712,3.72517789074588,1.20797547099803e-36
"CA1",392.178374895004,2.60184540013393,2.27353415144028e-36
"BAHCC1",918.26924018111,1.68213003182067,3.61348560655205e-32
"SMARCAD1",495.561000041338,-1.77013545947651,1.21532762544031e-29
"DHCR7-DT",133.914890851289,2.82234629613627,5.42101788237093e-29
"POLR3G",298.241419989529,2.07012398438047,1.17361184807485e-27
"SRCIN1",135.522970348445,2.65462994587332,5.29625387531149e-27
"ARHGEF6",597.555160796723,-1.56968460084192,7.2617807457025e-27
"TYMS",162.603374113114,-2.18124332242283,4.12712674251985e-26
"NKAIN1",81.3571339892681,4.1893500141703,6.75375692823234e-26
"CDC25A",157.383888320856,-2.01223757117963,2.24312265448658e-25
"CREM",335.270128227576,1.83948006752217,1.15426276996473e-24
"RAD51AP1",82.2808930052905,-2.93636365074263,1.72406002965885e-24
"FAXDC2",318.509451848293,-1.56503751722239,6.08373253395134e-24
"ACTB",47015.297835152,-1.13291750837987,4.43051403451598e-23
"SVIL-AS1",358.450355668774,-1.51344748994125,3.51080963867228e-22
"LGALS1",1901.18411404305,-1.89058585175024,5.88042158610956e-22
"USP4",902.303278878442,-1.27083990723786,3.0954665087004e-21
"PPM1K",591.52848880661,-1.32715154271739,4.05211827642721e-21
"GPR137C",195.170771423782,1.79083962752503,6.83804491239458e-21
"ALDH5A1",331.542422457272,-1.46231029238793,3.18383865659223e-20
"PSME4",4481.10488967887,1.07018544640505,9.70874464276172e-19
"RABL2B",449.930239131221,1.31674004338494,2.57070026991962e-18
"CSAD",406.822551294852,1.39957268714417,4.84161342729724e-18
"WDR7",412.878411764422,-1.31642153252905,6.29678795776382e-18
"MCOLN1",594.666656120865,1.28973505256792,5.12478313522206e-17
"MDK",904.109139660855,1.6603692232642,7.64373737375882e-17
"HES6",196.284023088173,1.83635892586515,2.22826516610988e-16
"APOBEC3C",398.588854124095,-1.22058797088376,1.06210532500755e-15
"SPG21",2188.19384371044,1.05726156523531,1.12397964540559e-15
"CDC25B",1428.62541196182,-1.02141543983194,1.53079627027602e-15
"MTFR1",601.067119927744,1.31520404791904,2.48790613468062e-15
"EOLA1",117.731947736801,-1.94335099622337,3.37965874171296e-15
"TFAP4",133.564112797905,-1.65608844976419,3.51449794512674e-15
"TNRC18",1890.96788591914,-1.17419536366364,3.59539688440141e-15
"CERS6",903.645881496496,1.07595898776978,4.91207634075062e-15
"ZNF554",344.012509186167,1.31112778307789,7.70626143541414e-15
"TNFAIP3",1537.68632949193,-1.16453814426981,1.85123682893395e-14
"FBXO36",176.081538484563,1.51059939542958,2.20224147060259e-13
"PITPNM3",304.814056831582,-1.29451547924539,3.46039936127737e-13
"PCLAF",57.78984057352,-2.30271483762851,6.83662304449734e-13
"AIMP1",816.276223480258,1.14911987343629,4.23846657268477e-12
"GALE",353.162562174036,-1.36587547181725,5.58970959453656e-12
"NUDT1",125.914975196694,1.56558962978586,9.28668565027953e-12
"ELF1",1450.96039122282,0.958994419851554,1.25062709651446e-11
"ZC3H7B",2149.92012385575,-0.873999406784153,1.92734215104369e-11
"MOB4",183.435418538101,-1.3754488156309,2.55037387741897e-11
"EOLA1-DT",32.5736505107933,-3.36315575870341,2.69089123539449e-11
"LSS",2342.11431658512,0.840767875011121,3.62280763329943e-11
"ZNF18",170.134226061999,-1.2325148580539,3.76632645350061e-11
"SLC12A4",1729.34728665017,-0.864582370717751,9.73845598968188e-11
