"peak_id","chr","start","end","width","replicate_count","gene","gene_id","annotation","distance_to_TSS","nearest_DMR_distance","has_overlapping_DMR","has_nearby_DMR_5kb","overlapping_DMR_logFC","overlapping_DMR_direction"
"TEAD1_peak_1","chr1",1360671,1360846,176,2,"MXRA8","54587","Promoter (<=1kb)",931,9154,FALSE,FALSE,NA,NA
"TEAD1_peak_2","chr1",1859254,1859558,305,2,"GNB1","2782","Promoter (<=1kb)",-482,6253,FALSE,FALSE,NA,NA
"TEAD1_peak_3","chr1",2135316,2135947,632,3,"PRKCZ","5590","Promoter (<=1kb)",54,2815,FALSE,TRUE,NA,NA
"TEAD1_peak_4","chr1",2330710,2331051,342,2,"LOC124903824","124903824","Intron (ENST00000378531.8/79906, intron 12 of 13)",15670,27209,FALSE,FALSE,NA,NA
"TEAD1_peak_5","chr1",3215663,3216243,581,3,"PRDM16","63976","Intron (ENST00000511072.5/63976, intron 2 of 15)",-21688,3162,FALSE,TRUE,NA,NA
"TEAD1_peak_6","chr1",3306706,3307137,432,3,"LOC105378604","105378604","Exon (ENST00000607061.1/ENST00000607061.1, exon 1 of 1)",16012,12705,FALSE,FALSE,NA,NA
"TEAD1_peak_7","chr1",3313202,3313370,169,2,"LOC105378604","105378604","Exon (ENST00000669140.1/105378604, exon 2 of 2)",9779,19201,FALSE,FALSE,NA,NA
"TEAD1_peak_8","chr1",3543182,3543701,520,2,"MEGF6","1953","Intron (ENST00000356575.9/1953, intron 4 of 36)",-11734,12799,FALSE,FALSE,NA,NA
"TEAD1_peak_9","chr1",3548305,3548477,173,2,"MIR551A","693135","Intron (ENST00000356575.9/1953, intron 4 of 36)",12313,8023,FALSE,FALSE,NA,NA
"TEAD1_peak_10","chr1",4380569,4380819,251,2,"LINC01777","284661","Distal Intergenic",-31208,137681,FALSE,FALSE,NA,NA
"TEAD1_peak_11","chr1",4421871,4422736,866,3,"LINC01777","284661","Intron (ENST00000635002.1/284661, intron 3 of 4)",5560,95764,FALSE,FALSE,NA,NA
"TEAD1_peak_12","chr1",4603202,4603688,487,3,"LINC01646","105376679","Distal Intergenic",31654,33812,FALSE,FALSE,NA,NA
"TEAD1_peak_13","chr1",4668789,4669399,611,3,"AJAP1","55966","Intron (ENST00000378191.5/55966, intron 1 of 5)",14057,10288,FALSE,FALSE,NA,NA
"TEAD1_peak_14","chr1",5494175,5494424,250,2,"LOC105376686","105376686","Promoter (1-2kb)",-1118,257174,FALSE,FALSE,NA,NA
"TEAD1_peak_15","chr1",6016281,6016460,180,2,"KCNAB2","8514","Intron (ENST00000655548.1/8514, intron 1 of 9)",-9703,40,FALSE,TRUE,NA,NA
"TEAD1_peak_16","chr1",6116264,6116429,166,2,"CHD5","26038","Intron (ENST00000262450.8/26038, intron 33 of 41)",-9492,11571,FALSE,FALSE,NA,NA
"TEAD1_peak_17","chr1",6859961,6860428,468,2,"CAMTA1","23261","Intron (ENST00000490738.5/23261, intron 2 of 2)",6866,21072,FALSE,FALSE,NA,NA
"TEAD1_peak_18","chr1",6869135,6869470,336,2,"CAMTA1","23261","Intron (ENST00000490738.5/23261, intron 2 of 2)",-4586,12030,FALSE,FALSE,NA,NA
"TEAD1_peak_19","chr1",6991153,6991609,457,2,"CAMTA1-AS3","127138864","Intron (ENST00000303635.12/23261, intron 3 of 22)",22670,65652,FALSE,FALSE,NA,NA
"TEAD1_peak_20","chr1",7117645,7118139,495,3,"CAMTA1-AS3","127138864","Intron (ENST00000303635.12/23261, intron 4 of 22)",-103366,4644,FALSE,TRUE,NA,NA
"TEAD1_peak_21","chr1",7121502,7121795,294,2,"CAMTA1-AS3","127138864","Intron (ENST00000303635.12/23261, intron 4 of 22)",-107223,2205,FALSE,TRUE,NA,NA
"TEAD1_peak_22","chr1",7220083,7220328,246,3,"CAMTA1","23261","Intron (ENST00000303635.12/23261, intron 4 of 22)",-148614,95582,FALSE,FALSE,NA,NA
"TEAD1_peak_23","chr1",7994204,7994468,265,3,"LOC124903834","124903834","Intron (ENST00000641354.1/124903834, intron 1 of 5)",3070,15532,FALSE,FALSE,NA,NA
"TEAD1_peak_24","chr1",8017761,8018118,358,3,"ERRFI1","54206","Promoter (2-3kb)",-2128,7260,FALSE,FALSE,NA,NA
"TEAD1_peak_25","chr1",8078374,8078642,269,3,"ERRFI1-DT","121832806","Intron (ENST00000445300.1/121832806, intron 2 of 2)",51636,30858,FALSE,FALSE,NA,NA
"TEAD1_peak_26","chr1",8090288,8090646,359,3,"ERRFI1-DT","121832806","Intron (ENST00000445300.1/121832806, intron 2 of 2)",63550,18854,FALSE,FALSE,NA,NA
"TEAD1_peak_27","chr1",8121112,8121447,336,3,"LINC01714","102724539","Intron (ENST00000445300.1/121832806, intron 2 of 2)",-80071,11111,FALSE,FALSE,NA,NA
"TEAD1_peak_28","chr1",8134125,8134303,179,2,"LINC01714","102724539","Distal Intergenic",-67215,5697,FALSE,FALSE,NA,NA
"TEAD1_peak_29","chr1",8137666,8138157,492,3,"LINC01714","102724539","Distal Intergenic",-63361,1843,FALSE,TRUE,NA,NA
"TEAD1_peak_30","chr1",8169511,8169677,167,2,"LINC01714","102724539","Distal Intergenic",-31841,510,FALSE,TRUE,NA,NA
"TEAD1_peak_31","chr1",8211825,8212227,403,2,"LINC01714","102724539","Intron (ENST00000670361.1/102724539, intron 4 of 4)",3153,4273,FALSE,TRUE,NA,NA
"TEAD1_peak_32","chr1",8259569,8259782,214,2,"LINC01714","102724539","Distal Intergenic",50897,14068,FALSE,FALSE,NA,NA
"TEAD1_peak_33","chr1",8408146,8408330,185,2,"RERE","473","Intron (ENST00000337907.7/473, intron 13 of 23)",15089,3645,FALSE,TRUE,NA,NA
